customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,owns_car,tenure,age,age_group
1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,1,11,69.30398028069948,70
2,Eli,Bockman,Male,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,1,16,42.12477742232457,40
3,Arlin,Dearle,Male,61,1954-01-20,Recruiting Manager,Property,Mass Customer,1,15,69.03018958000064,70
9,Mala,Lind,Female,97,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,1,8,49.89495750815795,50
10,Fiorenze,Birdall,Female,49,1988-10-11,Senior Quality Engineer,Financial Services,Mass Customer,1,20,34.30531501036538,30
12,Sawyere,Flattman,Male,58,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,0,8,28.531069132626623,30
13,Gabriele,Norcross,Male,38,1955-02-15,Developer I,Financial Services,High Net Worth,1,8,67.95966794026812,70
14,Rayshell,Kitteman,Female,85,1983-03-25,Account Executive,Financial Services,Affluent Customer,0,6,39.85505251353109,40
15,Erroll,Radage,Male,91,2000-07-13,Junior Executive,Manufacturing,Mass Customer,0,1,22.551480229363722,20
19,Sorcha,Keyson,Female,76,2001-04-15,Geological Engineer,Manufacturing,High Net Worth,0,1,21.795817895434894,20
20,Basile,Firth,Male,72,1980-08-13,Project Manager,Manufacturing,Mass Customer,0,11,42.46701579819813,40
21,Mile,Cammocke,Male,74,1980-09-20,Safety Technician I,Manufacturing,Affluent Customer,1,16,42.36297533193257,40
24,Kim,Skpsey,Female,55,1977-12-03,Research Assistant I,Argiculture,Mass Customer,1,15,45.16111629307482,50
25,Geoff,Assaf,Male,72,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,1,21,46.163190257632614,50
26,Trixi,Ginnelly,Female,12,1978-06-10,Editor,Financial Services,Mass Customer,1,16,44.64365186875399,40
27,Garvin,Klees,Male,37,1978-09-25,Research Nurse,Health,Mass Customer,1,12,44.350695819006226,40
28,Fee,Zellmer,Male,5,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,1,21,49.3364244787323,50
29,Mona,Sancraft,Female,62,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,0,19,54.609633374192164,50
31,Star,Praton,Female,3,1962-11-24,Staff Accountant III,Telecommunications,High Net Worth,1,14,60.18674994742775,60
32,Marion,Vanichkin,Female,17,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,0,4,27.78362051971876,30
35,Margaretha,Strettle,Female,40,1963-09-28,Information Systems Manager,Health,High Net Worth,1,16,59.34347458927529,60
37,Laurie,Dwerryhouse,Female,46,1985-12-22,Social Worker,Health,High Net Worth,0,16,37.10893178552162,40
38,Cordi,Merman,Female,37,1955-10-29,Senior Cost Accountant,Financial Services,Affluent Customer,0,20,67.25876374647906,70
39,Hunfredo,Smalley,Male,5,1979-04-16,Assistant Media Planner,Entertainment,Mass Customer,0,22,43.794900696587554,40
40,Tomasine,Jerche,Female,91,1981-10-27,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,0,14,41.26233671512319,40
41,Basilius,Coupe,Male,64,1976-04-14,Food Chemist,Health,Mass Customer,0,16,46.79838468325395,50
42,Chiquita,Durnall,Female,24,1977-03-28,Accountant III,Manufacturing,Mass Customer,0,18,45.845593044821946,50
43,Indira,Belt,Female,38,1983-03-01,Director of Sales,Retail,Mass Customer,0,5,39.92076228169882,40
44,Neron,Verick,Male,63,1981-10-18,Assistant Media Planner,Entertainment,Affluent Customer,1,17,41.286977878186086,40
45,Trace,Woodhead,Male,64,1975-09-23,Senior Financial Analyst,Financial Services,Mass Customer,0,8,47.3569177126796,50
47,Matthew,Jeaycock,Male,51,1992-10-22,Registered Nurse,Health,Affluent Customer,0,2,30.2751158960783,30
50,Whitby,Schapero,Male,38,1980-10-01,Account Executive,Manufacturing,Mass Customer,1,16,42.332858354855695,40
51,Fidelio,Dilke,Male,68,1959-12-05,Computer Systems Analyst II,Retail,Mass Customer,0,18,63.157379050010285,60
53,Agnella,Gocke,Female,22,1954-04-18,Software Test Engineer II,Financial Services,Mass Customer,0,16,68.78925376338564,70
54,Loralyn,Wonfor,Female,2,1966-07-24,Sales Associate,Property,Mass Customer,1,18,56.52343037207713,60
55,Linc,Jillions,Male,48,1956-09-24,Paralegal,Financial Services,Affluent Customer,1,7,66.35251652716588,70
56,Reese,Ensor,Male,44,1996-07-04,VP Sales,Property,Mass Customer,1,4,26.576203529636828,30
58,Dalenna,Pinnock,Female,26,1967-07-04,Office Assistant III,Financial Services,Affluent Customer,1,17,55.57885245466609,60
61,Kacey,Rowbottom,Female,47,1959-11-29,Help Desk Operator,Property,High Net Worth,0,13,63.173806492052215,60
63,Ebony,Zini,Female,58,1965-07-03,Senior Quality Engineer,Retail,Mass Customer,1,16,57.58026247677469,60
64,Gerek,Yve,Male,73,1978-03-25,Legal Assistant,IT,High Net Worth,0,4,44.85447070829211,40
65,Yale,Tanser,Male,21,1976-04-01,Information Systems Manager,Financial Services,Affluent Customer,1,15,46.8339774743448,50
66,Anselm,Gawne,Male,46,2002-03-11,Account Executive,Argiculture,High Net Worth,0,1,20.892308583128685,20
